condition	replicate	fastq
J4	J4_rep1	/media/paularthur/data/Projets/Screens/PitViper/PitViper/resources/fastq/CLLR135_SE.fastq.gz
J11	J11_rep1	/media/paularthur/data/Projets/Screens/PitViper/PitViper/resources/fastq/CLLR136_SE.fastq.gz
J18	J18_rep1	/media/paularthur/data/Projets/Screens/PitViper/PitViper/resources/fastq/CLLR137_SE.fastq.gz
J25	J25_rep1	/media/paularthur/data/Projets/Screens/PitViper/PitViper/resources/fastq/CLLR138_SE.fastq.gz
J4	J4_rep2	/media/paularthur/data/Projets/Screens/PitViper/PitViper/resources/fastq/CLLR139_SE.fastq.gz
J11	J11_rep2	/media/paularthur/data/Projets/Screens/PitViper/PitViper/resources/fastq/CLLR140_SE.fastq.gz
J18	J18_rep2	/media/paularthur/data/Projets/Screens/PitViper/PitViper/resources/fastq/CLLR141_SE.fastq.gz
J25	J25_rep2	/media/paularthur/data/Projets/Screens/PitViper/PitViper/resources/fastq/CLLR142_SE.fastq.gz
J4	J4_rep3	/media/paularthur/data/Projets/Screens/PitViper/PitViper/resources/fastq/CLLR143_SE.fastq.gz
J11	J11_rep3	/media/paularthur/data/Projets/Screens/PitViper/PitViper/resources/fastq/CLLR144_SE.fastq.gz
J18	J18_rep3	/media/paularthur/data/Projets/Screens/PitViper/PitViper/resources/fastq/CLLR145_SE.fastq.gz
J25	J25_rep3	/media/paularthur/data/Projets/Screens/PitViper/PitViper/resources/fastq/CLLR146_SE.fastq.gz
